author	i	the	a	to	and	of	you	it	my	she	me	was	in.	s	that	her	t	he	on	we	for.	with	amy	is	but	like	tx	be	at	said	so	nick	this	have	his	what	not	as	d	just	had	all	they	up	out	go	know	if.	do	about	can	from	one	are	an	then	m	don	were	would	when	your	no	him	our	back	who	get	how	because	wife	into	or	now	been	want	say	there	think	could	right	re	over	by	didn	us	some	down	good	will	time	ve	never	them	here	did	ll	even
nick	2.965345	4.751697	3.072526	1.500536	2.250804	1.7863523	0.53590568	1.57199	1.4290818	1.0360843	0.3572705	1.8935334	1.2861736	0.821722	1.0003573	1.28617363	0.6073598	0.03572704	0.821722	1.0003573	0.4287245	0.5359057	0.96463022	0.4287245	0.3929975	0.750268	0.4287245	0.3572705	0.5001786	0.17863523	0.1429082	0.14290818	0.3929975	0.2500893	0.2500893	0.53590568	0.57163273	0.4287245	0.25008932	0.1786352	0.42872454	0.28581636	0	0.28581636	0.1429082	0.28581636	0.10718114	0.17863523	0.2143623	0.32154341	0.03572704	0.4644516	0.35727045	0.28581636	0.50017864	0.28581636	0.14290818	0.03572704	0.32154341	0.75026795	0.35727045	0.03572704	0.25008932	0.03572704	0.67881386	0.3929975	0.21436227	0.17863523	0.14290818	0.17863523	0.21436227	0.14290818	0.28581636	0.14290818	0.14290818	0.10718114	0.03572704	0.28581636	0.21436227	0.28581636	0.10718114	0.03572704	0.17863523	0.3929975	0.21436227	0.07145409	0.25008932	0.1429082	0.10718114	0.17863523	0.25008932	0.10718114	0	0.10718114	0.21436227	0.14290818	0.07145409	0.25008932
nick	4.469136	3.530864	2.493827	2.246914	1.82716	1.654321	2.74074074	0.962963	0.7901235	1.2345679	1.2345679	1.4320988	1.2345679	0.962963	1.2592593	1.01234568	1.0123457	1.13580247	0.617284	0.2469136	0.691358	0.7160494	1.01234568	0.5925926	0.3209877	0.4938272	0.2962963	0.1728395	0.5185185	0.83950617	0.3209877	0.4691358	0.3950617	0.4444444	0.5432099	0.34567901	0.27160494	0.3703704	0.54320988	0.3703704	0.4691358	0.44444444	0.17283951	0.27160494	0.2469136	0.56790124	0.44444444	0.2962963	0.2716049	0.44444444	0.27160494	0.3703704	0.2962963	0.17283951	0.34567901	0.22222222	0.44444444	0.2962963	0.24691358	0.22222222	0.22222222	0.27160494	0.24691358	0.17283951	0.14814815	0.27160494	0.32098765	0.24691358	0.2962963	0.17283951	0.37037037	0.17283951	0.17283951	0.19753086	0.19753086	0.2962963	0.07407407	0.04938272	0.14814815	0.32098765	0.09876543	0.34567901	0.24691358	0.07407407	0.19753086	0.14814815	0.24691358	0.2716049	0.32098765	0.04938272	0.17283951	0.09876543	0.17283951	0.14814815	0.19753086	0.14814815	0.02469136	0.19753086
nick	2.710414	5.94389	2.044698	2.234903	3.185925	1.4740846	0.42796006	1.0936757	1.3789824	1.0461246	0.9510223	1.9020447	1.1412268	0.9510223	0.7608179	1.18877794	0.5706134	0.38040894	0.4279601	0.6181645	0.7608179	0.7608179	0.85592011	0.5706134	0.5706134	0.4755112	0.5706134	0.3804089	0.5706134	0.42796006	0.2853067	0.38040894	0.3328578	0.1426534	0.2377556	0.38040894	0.38040894	0.3328578	0.38040894	0.3804089	0.61816453	0.33285782	0.38040894	0.23775559	0.3804089	0.66571564	0.09510223	0.23775559	0.1426534	0.23775559	0.04755112	0.1902045	0.33285782	0.04755112	0.19020447	0.09510223	0.19020447	0.14265335	0.47551118	0.42796006	0.04755112	0.14265335	0.33285782	0	0.2853067	0.33285782	0.14265335	0.09510223	0.23775559	0.04755112	0.42796006	0.23775559	0.09510223	0.19020447	0.14265335	0.04755112	0.09510223	0.09510223	0	0.23775559	0.14265335	0.04755112	0.23775559	0.33285782	0.04755112	0.19020447	0.23775559	0.1426534	0	0.04755112	0.14265335	0	0.09510223	0.04755112	0	0.09510223	0.04755112	0
nick	4.146473	4.361874	2.315563	2.800215	1.130856	1.0231556	3.06946688	1.8309101	1.6155089	1.3462574	1.7232095	2.0463113	1.0231556	0.7539041	0.5923533	0.70005385	1.1847065	0.43080237	0.538503	0.8077544	0.4846527	0.6462036	0.75390415	0.3231018	0.3769521	0.2154012	0.6462036	0.538503	0.538503	0.37695207	0.1077006	0.59235326	0.538503	0.2154012	0.0538503	0.43080237	0.43080237	0.4308024	0.21540118	0.1615509	0.43080237	0.16155089	0.37695207	0.21540118	0.2692515	1.02315563	0.37695207	0.75390415	0.3231018	0.21540118	0.16155089	0.1077006	0.16155089	0.26925148	0.21540118	0.16155089	0.0538503	0.32310178	0.48465267	0.59235326	0.48465267	0.26925148	0.21540118	0.16155089	0.16155089	0.10770059	0.16155089	0.26925148	0.0538503	0.10770059	0.37695207	0.32310178	0.10770059	0.21540118	0.16155089	0.37695207	0.16155089	0.16155089	0.21540118	0.10770059	0.26925148	0.48465267	0.0538503	0.16155089	0.43080237	0.16155089	0.21540118	0.1615509	0.10770059	0.16155089	0.16155089	0.16155089	0.0538503	0.0538503	0.16155089	0.37695207	0.0538503	0.21540118
nick	4.523133	3.437581	2.739726	2.946498	1.731714	1.4990954	1.70586715	1.4732489	0.9821659	1.1372448	0.930473	1.8867925	1.0855518	1.1372448	0.7753942	1.03385888	0.9563195	0.69785474	0.8012406	0.6203153	0.8012406	0.9563195	0.54277591	0.6978547	0.4652365	0.2843112	0.3101577	0.491083	0.43939	0.4652365	0.491083	0.31015766	0.5944689	0.2326182	0.5686224	0.31015766	0.25846472	0.3618506	0.51692944	0.4135436	0.36185061	0.1809253	0.05169294	0.28431119	0.4652365	0.25846472	0.25846472	0.41354355	0.2326182	0.31015766	0.36185061	0.3360041	0.25846472	0.10338589	0.36185061	0.31015766	0.4652365	0.25846472	0.15507883	0.15507883	0.20677178	0.33600413	0.20677178	0.25846472	0.1809253	0.1809253	0.25846472	0.33600413	0.31015766	0.20677178	0.38769708	0.12923236	0.1809253	0.20677178	0.12923236	0.25846472	0.23261825	0.1809253	0.20677178	0.15507883	0.10338589	0.1809253	0.1809253	0.07753942	0.10338589	0.1809253	0.05169294	0.2067718	0.1809253	0.15507883	0.23261825	0.20677178	0.12923236	0.10338589	0.10338589	0.12923236	0.12923236	0.12923236
nick	3.731942	4.093098	2.648475	2.648475	2.52809	1.0834671	1.44462279	1.9261637	1.2038523	1.8860353	1.5248796	1.1235955	0.7223114	2.2070626	1.1637239	1.4847512	0.682183	0.28089888	0.6420546	0.4414125	0.6420546	0.6019262	0.92295345	0.5617978	0.2407705	0.1605136	0.4815409	0.4414125	0.5216693	0.64205457	0.5216693	0.20064206	0.8025682	0.5216693	0.1203852	0.32102729	0.32102729	0.5617978	0.3611557	0.2006421	0.3611557	0.3611557	0.24077046	0.52166934	0.2006421	1.16372392	0.44141252	0.52166934	0.6420546	0.28089888	0.16051364	0.1605136	0.16051364	0.3611557	0.16051364	0.20064206	0.16051364	0.20064206	0.28089888	0.16051364	0.28089888	0.32102729	0.48154093	0.12038523	0.28089888	0.28089888	0.24077046	0.20064206	0.08025682	0.28089888	0.44141252	0.20064206	0.28089888	0.08025682	0.08025682	0.04012841	0.04012841	0.20064206	0.16051364	0.40128411	0.32102729	0.28089888	0.20064206	0.24077046	0.16051364	0.04012841	0.12038523	0.1203852	0.12038523	0.12038523	0.20064206	0.08025682	0.16051364	0.16051364	0.28089888	0.04012841	0.24077046	0.16051364
nick	6.077048	2.875746	1.953337	3.038524	2.55019	0.9224091	2.60444927	1.4650027	1.4107434	1.5192621	1.6277808	0.9224091	0.9224091	1.2479653	1.1937059	2.06185567	1.3022246	0.16277808	0.7053717	0.9224091	0.8681498	0.7053717	0.48833424	0.4340749	0.5425936	0.4340749	0.6511123	0.4883342	0.3798155	0.37981552	0.5425936	0.32555616	0.8681498	0.2712968	0.1085187	0.48833424	0.2712968	0.3798155	0.75963104	0.5425936	0.59685296	0.16277808	0.05425936	0.32555616	0.2712968	0.5425936	0.37981552	0.21703744	0.4883342	0.37981552	0.5425936	0.1085187	0.10851872	0.48833424	0.32555616	0.37981552	0.37981552	0.2712968	0.16277808	0.43407488	0.16277808	0.32555616	0.21703744	0.10851872	0.16277808	0.32555616	0.05425936	0.21703744	0.21703744	0.37981552	0.32555616	0.05425936	0.37981552	0.16277808	0.16277808	0.21703744	0.21703744	0.10851872	0.5425936	0.43407488	0.70537168	0.05425936	0.05425936	0.21703744	0.10851872	0	0.21703744	0.4883342	0.10851872	0.05425936	0.05425936	0.05425936	0.10851872	0.05425936	0.10851872	0	0.16277808	0.10851872
nick	4.069264	4.069264	2.207792	1.991342	2.164502	1.6450216	1.47186147	0.8225108	1.8614719	1.9047619	1.6450216	1.5151515	1.2987013	1.1688312	1.1255411	1.16883117	0.7359307	0.43290043	0.7359307	0.2597403	0.4761905	0.5627706	0.56277056	0.6926407	0.3463203	0.2597403	0.5194805	0.3896104	0.5627706	0.43290043	0.2597403	0.64935065	0.2164502	0.2597403	0.5194805	0.21645022	0.34632035	0.3896104	0.56277056	0.6060606	0.82251082	0.56277056	0.17316017	0.38961039	0.2597403	0.86580087	0.12987013	0.47619048	0.2597403	0.3030303	0.3030303	0.1731602	0.25974026	0.21645022	0.21645022	0.3030303	0.12987013	0.17316017	0.17316017	0.12987013	0.04329004	0.12987013	0.04329004	0.47619048	0.17316017	0.3030303	0.21645022	0.12987013	0.08658009	0.17316017	0.38961039	0.38961039	0.04329004	0.3030303	0.17316017	0.12987013	0.17316017	0.12987013	0.3030303	0.3030303	0.12987013	0.04329004	0.17316017	0.21645022	0.17316017	0.04329004	0.12987013	0.2164502	0.25974026	0.08658009	0.04329004	0.08658009	0.21645022	0.12987013	0.12987013	0.3030303	0.12987013	0.08658009
nick	4.602057	4.114781	2.003249	2.219816	2.382241	1.2452626	0.81212777	1.46183	1.840823	1.4076881	1.4076881	1.7866811	1.46183	0.7038441	0.7579859	2.43638332	0.5414185	0.37899296	1.0286952	0.4872767	0.5955604	0.8662696	1.02869518	0.1624256	0.2707093	0.4331348	0.6497022	0.4331348	0.4872767	0.21656741	0.5414185	0.27070926	0.2707093	0.2165674	0.1624256	0.21656741	0.05414185	0.378993	0.81212777	0.2165674	0.86626963	0.43313481	0.27070926	0.16242555	0.378993	0.1082837	0.16242555	0.21656741	0	0.1082837	0.21656741	0.2165674	0.27070926	0	0.16242555	0.37899296	0.05414185	0.1082837	0.70384407	0.16242555	0.32485111	0.54141852	0.1082837	0.05414185	0.32485111	0.27070926	0.16242555	0.05414185	0.27070926	0.1082837	0.21656741	0.16242555	0.1082837	0.16242555	0.32485111	0	0	0.1082837	0.16242555	0.05414185	0.1082837	0	0.1082837	0.1082837	0.32485111	0.21656741	0.05414185	0.1624256	0.1082837	0.05414185	0.05414185	0	0	0	0.1082837	0.16242555	0	0.16242555
nick	3.448276	2.873563	2.011494	3.448276	2.586207	1.1494253	1.43678161	1.0057471	1.7241379	1.7241379	2.0114943	1.8678161	1.0057471	0.5747126	0.4310345	2.87356322	1.4367816	0	0.2873563	0.1436782	0.862069	0.5747126	2.15517241	0	0.862069	0.2873563	1.7241379	2.0114943	0.5747126	0.14367816	0.4310345	0.28735632	0.4310345	0.4310345	0	0.28735632	0.14367816	0.7183908	0.86206897	0.4310345	0.86206897	0.14367816	0	0.28735632	0.1436782	0.14367816	0.14367816	0.28735632	0.2873563	0	0	0.5747126	0.14367816	0	0.14367816	0.57471264	0	0	0.86206897	0.7183908	0.43103448	0	0.43103448	0	0	0.43103448	1.00574713	0	0.14367816	0.28735632	0.14367816	0.14367816	0.14367816	0	0.14367816	0	0	0.86206897	0	0.43103448	0.43103448	0	0	0	0	0	0	0	0.28735632	0.28735632	0.28735632	0.28735632	0.43103448	0	0	0.14367816	0.43103448	0.14367816
